,text,sentiment
0,haitong bank in a report of may reduce the recommendation for asseco poland to neutral with buy while reduce the target price of the company s share to pln from pln early,1
1,comcert a polish company from the asseco poland capital group from the cyber security industry expect to double its business in say comcert president krzysztof dyki it indicate a huge increase in interest in cyber security solution after the outbreak of war in ukraine,3
2,in the first quarter of acp assecopol achieve pln billion in sale revenue i e more than in the same period of sale of own product and service,3
3,the net profit of the asseco poland group in the first quarter increase by percent year to year to pln million the group inform in the report the result be similar to estimate previously publish by the company,3
4,the portfolio of the asseco poland group for accord to course of may have a value of pln billion the company say in the report backlog be percent high than the value of the order portfolio for which the group record in the same period last year,3
6,the general assembly of asseco poland decide to pay pln million on a net profit for which give pln dividend per share the company inform in a message,3
7,rafa janczyk who head investment at aviva investor tfi there be no problem that most colleague from other institution in the case of this society the advantage of redemption over new,2
8,asseco poland estimate the consolidated net profit attribute to shareholder of the dominant unit in the first quarter of at pln million the company say in a statement the company s profit turn out to be percent above the market expectation which expect a profit of pln million,3
9,asseco poland estimate the consolidated net profit attribute to shareholder of the dominant unit in the first quarter of at pln million the company say in a statement,3
10,the last week of april at the wse bring a continuation of strengthen small and medium sized company relative to the wide market and the downward trend be continue by the relative force for wig among the company with the great capitalization the most powerful be asseco poland jsw pepco and pge and allegro and bank behave the least,3
11,a strongly inheritance week at the warsaw court bring further strengthening of small and medium sized company in relation to the wide market instead the weakness of wig relative to wig asseco poland dino lotos pgnig and pkn orlen stand out from wig,1
12,haitong bank in the report of april increase the recommendation for asseco poland to buy from neutrally while reduce the target price of the company s share to pln from pln early,3
13,dm bo in the report of april reduce the target price for asseco poland share to pln from pln early maintain the recommendation buy,1
14,in the first quarter customer of quercus tfi fund withdraw almost pln million from they although half of the outflow concerned fund with bond strategy over pln million be withdraw from,1
15,asseco poland be satisfied with the growth of the order portfolio for this year but on the other hand it feel an increase in cost especially employee benefit maintain profitability this year be not impossible but it would be a great success say in an interview with pap bizne vice president karolina rzoca bajorek,2
16,the beginning of the new quarter bring a deterioration of mood on the wse mainly relative to domestic blue chip last week wig financial company and allegro pull down the most powerful from the point of view of relative force be asseco poland lotos and pepco which be reflect in last week s return foot,1
17,similarly to last year izs izostal shareholder can receive a dividend of pln per share gt gt gt kpd kppd return to dividend payment after more than a decade company,3
18,at the result of the thursday session the rally decide in the last hour of the session during which wig gain about point the session be dominate by reaction to result for the fourth quarter of asseco poland shareholder have the great reason to be satisfied whose quotation go up percent,3
20,the net profit of the asseco poland group in the fourth quarter fall by percent year to year up to pln million the group inform in the report the result be similar to estimate previously publish by the company,1
21,in acp assecopol achieve pln billion in sale revenue i e more than in the sale of own product and it service increase in,3
22,the portfolio of the asseco poland group for be worth pln billion the company say in the report backlog be percent high than the value of the order portfolio for which the group record in the same period last year,3
23,the management and supervisory board of asseco poland recommend the allocation for dividend pln million from profit for i e pln per share the company say,3
25,dm bo analyst in a monthly report of february increase the recommendation for mercator to keep with sell in addition analyst add nitrogen neuka action ts games playway datawalk asseco poland and livechat on the list of long position for the come month and withdraw from it ing bsk orange polska asbis ciech and cd projekt,3
