company,news_date,news_text,,
ASSECO-POLAND,2022-06-02 11:10:24,"Haitong Bank, w raporcie z 31 maja , obniżył rekomendację dla Asseco Poland do ""neutralnie"" z ""kupuj"", jednocześnie obniżając cenę docelową akcji spółki do 79,1 zł z 89,3 zł wcześniej.",1,
ASSECO-POLAND,2022-05-26 12:08:45,"ComCERT, polska spółka z grupy kapitałowej Asseco Poland z branży cyberbezpieczeństwa, spodziewa się podwojenia swojego biznesu w 2022 roku - poinformował prezes ComCert Krzysztof Dyki. Wskazuje na ogromny wzrost zainteresowania rozwiązaniami cyberbezpieczeństwa po wybuchu wojny w Ukrainie.",3,
ASSECO-POLAND,2022-05-26 10:13:35,"W I kwartale 2022 roku ACP (ASSECOPOL) osiągnęło 4,1 mld zł przychodów ze sprzedaży, czyli o 22% więcej niż w analogicznym okresie 2021 roku. Sprzedaż własnych produktów oraz usług...",3,
ASSECO-POLAND,2022-05-25 19:33:15,"Zysk netto grupy Asseco Poland w pierwszym kwartale wzrósł o 5,6 proc. rok do roku, do 107,9 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",3,
ASSECO-POLAND,2022-05-25 17:48:10,"Portfel zamówień grupy Asseco Poland na 2022 rok, według kursów z 20 maja, ma wartość 11,19 mld zł - poinformowała spółka w raporcie. Backlog jest o 30 proc. wyższy od wartości portfela zamówień na 2021 rok, który grupa notowała w analogicznym okresie ubiegłego roku.",3,
ASSECO-POLAND,2022-05-25 17:39:09,"Zysk netto grupy Asseco Poland w pierwszym kwartale wzrósł o 5,6 proc. rok do roku, do 107,9 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",2,
ASSECO-POLAND,2022-05-25 10:54:03,"Walne zgromadzenie Asseco Poland zdecydowało o wypłacie 279 mln zł dywidendy z zysku netto za 2021 rok, co daje 3,36 zł dywidendy na jedną akcję - poinformowała spółka w komunikacie.",3,
ASSECO-POLAND,2022-05-05 15:26:00,"Rafał Janczyk, który szefuje inwestycjom w Aviva Investors TFI, nie ma tego problemu co większość kolegów z innych instytucji. W przypadku tego towarzystwa przewaga umorzeń nad nowymi...",2,
ASSECO-POLAND,2022-05-04 17:54:32,"Asseco Poland szacuje skonsolidowany zysk netto przypisany akcjonariuszom jednostki dominującej w I kwartale 2022 roku na 108,2 mln zł - poinformowała spółka w komunikacie. Zysk spółki okazał się 4,7 proc. powyżej oczekiwań rynku, który spodziewał zysku na poziomie 103,4 mln zł.",3,
ASSECO-POLAND,2022-05-04 17:29:44,"Asseco Poland szacuje skonsolidowany zysk netto przypisany akcjonariuszom jednostki dominującej w I kwartale 2022 roku na 108,2 mln zł - poinformowała spółka w komunikacie.",3,
ASSECO-POLAND,2022-05-02 07:02:45,"Ostatni tydzień kwietnia na GPW przyniósł kontynuację umacniania małych i średnich spółek względem szerokiego rynku, a trend spadkowy kontynuowała siła relatywna dla WIG20. Spośród spółek o największej kapitalizacji najmocniejsze są Asseco Poland, JSW, Pepco oraz PGE, a najsłabiej zachowuje się Allegro oraz banki.",3,
ASSECO-POLAND,2022-04-25 07:03:09,"Mocno spadkowy tydzień na warszawskim parkiecie przyniósł dalsze umacnianie indeksów małych i średnich spółek względem szerokiego rynku. Utrzymuje się natomiast słabość WIG20 względem WIG. Na tle WIG20 wyróżniają się akcje Asseco Poland, Dino, Lotosu, PGNiG oraz PKN Orlen.",1,
ASSECO-POLAND,2022-04-20 11:58:14,"Haitong Bank, w raporcie z 19 kwietnia, podwyższył rekomendację dla Asseco Poland do ""kupuj"" z ""neutralnie, jednocześnie obniżając cenę docelową akcji spółki do 89,3 zł z 92,7 zł wcześniej.",3,
ASSECO-POLAND,2022-04-19 08:25:19,"DM BOŚ, w raporcie z 12 kwietnia, obniżył cenę docelową  dla akcji Asseco Poland do 92,9 zł z 99 zł wcześniej, podtrzymując rekomendację ""kupuj"".",1,
ASSECO-POLAND,2022-04-18 13:40:15,"W pierwszym kwartale klienci funduszy Quercus TFI wycofali z nich niemal 400 mln zł. Wprawdzie połowa odpływu dotyczyła funduszy o strategiach obligacyjnych, jednak ponad 130 mln zł wycofano z...",1,
ASSECO-POLAND,2022-04-12 17:38:51,"Asseco Poland jest zadowolone ze wzrostu portfela zamówień na ten rok, ale z drugiej strony odczuwa wzrost kosztów, szczególnie świadczeń pracowniczych. Utrzymanie w tym roku rentowności nie jest niemożliwe, ale byłoby dużym sukcesem - oceniła w rozmowie z PAP Biznes wiceprezes Karolina Rzońca-Bajorek.",2,
ASSECO-POLAND,2022-04-11 07:01:33,"Początek nowego kwartału przyniósł pogorszenie nastrojów na GPW, głównie względem krajowych blue chipów. W minionym tygodniu WIG20 w dół ciągnęły spółki finansowe oraz Allegro. Najmocniejsze z punktu widzenia siły relatywnej są Asseco Poland, Lotos oraz Pepco, co znalazło odzwierciedlenie w ubiegłotygodniowych stopach zwrotu.",1,
ASSECO-POLAND,2022-03-25 12:49:00,"Podobnie jak w ubiegłym roku, akcjonariusze IZS (IZOSTAL) mogą otrzymać dywidendę równą 0,12 zł na akcję. &gt;&gt;&gt;
	KPD (KPPD) po ponad dekadzie powraca do wypłaty dywidendy. Spółka...",3,
ASSECO-POLAND,2022-03-24 18:52:50,"O wyniku czwartkowej sesji zdecydował rajd w ostatniej godzinie sesji, w trakcie którego WIG20 zyskał ok. 30 pkt. Sesję zdominowały reakcje na wyniki za IV kwartał 2021 roku. Największe powody do zadowolenia mieli akcjonariusze Asseco Poland, którego notowania poszły w górę 7,1 proc.",3,
ASSECO-POLAND,2022-03-24 18:33:54,"O wyniku czwartkowej sesji zdecydował rajd w ostatniej godzinie sesji, w trakcie którego WIG20 zyskał ok. 30 pkt. Sesję zdominowały reakcje na wyniki za IV kwartał 2021 roku. Największe powody do zadowolenia mieli akcjonariusze Asseco Poland, którego notowania poszły w górę 7,1 proc.",3,
ASSECO-POLAND,2022-03-23 18:39:11,"Zysk netto grupy Asseco Poland w czwartym kwartale spadł o 21 proc. rok do roku, do 106 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",1,
ASSECO-POLAND,2022-03-23 18:38:12,"W 2021 roku ACP (ASSECOPOL) osiągnęło 14,5 mld zł przychodów ze sprzedaży, czyli o 19% więcej niż w roku 2020. Sprzedaż własnych produktów oraz usług informatycznych wzrosła, w...",3,
ASSECO-POLAND,2022-03-23 18:01:54,"Portfel zamówień grupy Asseco Poland na 2022 rok ma wartość 9,81 mld zł - poinformowała spółka w raporcie. Backlog jest o 28 proc. wyższy od wartości portfela zamówień na 2021 rok, który grupa notowała w analogicznym okresie ubiegłego roku.",3,
ASSECO-POLAND,2022-03-23 17:59:05,"Zarząd i rada nadzorcza Asseco Poland rekomendują przeznaczenie na dywidendę 278,9 mln zł z zysku za 2021 rok, czyli 3,36 zł na akcję - podała spółka.",3,
ASSECO-POLAND,2022-03-23 17:56:50,"Zysk netto grupy Asseco Poland w czwartym kwartale spadł o 21 proc. rok do roku, do 106 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",1,
ASSECO-POLAND,2022-03-08 07:45:08,"Analitycy DM BOŚ, w raporcie miesięcznym z 28 lutego, podwyższyli rekomendację dla Mercatora do ""trzymaj"" ze ""sprzedaj"". Ponadto, analitycy dodali Azoty, Neukę, Action,
TS Games, PlayWay, DataWalk, Asseco Poland i LiveChat na listę długich pozycji na nadchodzący miesiąc, a wycofali z niej Handlowy, ING BSK, Orange Polska, Asbis, Ciech i CD Projekt.",3,
ASSECO-POLAND,2022-03-04 17:46:40,"Asseco Poland szacuje, że zysk netto przypisany akcjonariuszom jednostki dominującej grupy w czwartym kwartale wyniósł 105 mln zł - podała spółka. Konsensus PAP Biznes zakładał zysk w wysokości 108,1 mln zł.",2,
ASSECO-POLAND,2022-02-15 08:08:00,"Analitycy DM BOŚ, w raporcie miesięcznym z 7 lutego, podwyższyli rekomendację dla Asseco Poland do ""kupuj"" z ""trzymaj"". Ponadto, analitycy dodali Handlowy, JSW, PCC Rokita, Orange Polska i LSI Software na listę długich pozycji na nadchodzący miesiąc, a wycofali z niej Alior, Santander BP, Millennium i Action.",3,
ASSECO-POLAND,2022-01-28 10:43:42,"Asseco Data Systems kupiło większościowe udziały (65,24%) krakowskiej spółki Pirios. To producent i integrator systemów klasy „omnichannel”, które wspierają procesy oraz automatyzację...",3,
ASSECO-POLAND,2021-12-30 07:39:23,"Środowa sesja przyniosła na GPW niewielkie wzrosty głównych indeksów. WIG20 zyskał 0,4%, WIG umocnił się o 0,6%, a mWIG40 wzrósł o 0,7%. Bardziej zdecydowany ruch widoczny był w indeksie małych spółek – sWIG80 zanotował wczoraj wynik +1,9%. Wśród największych spółek prym wiodło PGNiG, zyskując w czasie sesji 5,7%, dalej uplasowało się JSW (+4,4%), które po niemal dwóch miesiącach trendu spadkowego kontynuowało wtorkowe odbicie. Podobnie, po ok. miesiącu spadków, zyskał Mercator (+4,1%). Najsłabszym ogniwem WIG20 było Asseco Poland, które spadło 1,4% po komunikacie UOKiK o przeszukaniu w siedzibie spółki w związku z podejrzeniem zmowy przetargowej...",3,
ASSECO-POLAND,2021-12-29 16:10:40,"UOKiK w asyście policji przeprowadził przeszukanie w siedzibie Asseco Poland, Comarch Healthcare oraz Bestprojects w związku z podejrzeniem zmowy przetargowej - podał urząd w komunikacie prasowym. Asseco Poland i Comarch Healthcare deklarują pełną gotowość współpracy z przedstawicielami UOKiK.",1,
ASSECO-POLAND,2021-12-29 10:00:08,"Przedstawiciele Urzędu Ochrony Konkurencji i Konsumentów w asyście policji przeprowadzili przeszukanie w siedzibie Asseco Poland, Comarch Healthcare oraz Bestprojects w związku z podejrzeniem zmowy przetargowej - podał urząd w komunikacie prasowym.",1,
ASSECO-POLAND,2021-12-29 09:27:42,"Czy dostawa szpitalnych systemów informatycznych odbywa się z naruszeniem prawa konkurencji?
	Prezes UOKiK Tomasz Chróstny wszczął w tej sprawie postępowanie wyjaśniające, a pracownicy...",1,
ASSECO-POLAND,2021-12-29 09:02:55,"UOKiK w asyście policji przeprowadził przeszukanie w siedzibie Asseco Poland, Comarch Healthcare oraz Bestprojects w związku z podejrzeniem zmowy przetargowej - podał urząd  w komunikacie prasowym.",1,
ASSECO-POLAND,2021-11-25 13:04:44,"Kurs EUR/PLN przebił poziom 4,72 osiągając wartości niewidziane od 2009 r. Podobna sytuacja ma miejsce w przypadku drugiej najważniejszej pary walutowej, USD/PLN balansującej w okolicach...",3,
ASSECO-POLAND,2021-11-24 13:17:44,"Asseco Poland oczekuje, że rentowność operacyjna grupy w całym 2021 roku wyniesie około 10 proc. - poinformowali przedstawiciele spółki. Grupa spodziewa się spowolnienia dynamiki wzrostu w IV kw. ze względu na efekt wyższej bazy z ubiegłego roku. Największym wyzwaniem dla dalszego rozwoju firmy pozostaje zwiększona konkurencja na rynku pracy.",1,
ASSECO-POLAND,2021-11-23 18:00:43,"Zysk netto grupy Asseco Poland w trzecim kwartale wzrósł o 33 proc. rok do roku, do 120,4 mln zł - poinformowała grupa w raporcie. Wynik jest zgodny z szacunkami opublikowanymi wcześniej przez spółkę.",3,
ASSECO-POLAND,2021-11-23 17:41:13,"Zysk netto grupy Asseco Poland w trzecim kwartale wzrósł o 33 proc. rok do roku, do 120,4 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",3,
ASSECO-POLAND,2021-11-23 17:21:47,"Portfel zamówień grupy Asseco Poland na 2021 rok ma wartość 10,85 mld zł - poinformowała spółka w raporcie. Backlog jest o 17 proc. wyższy od wartości portfela zamówień na 2020 rok, który grupa notowała w analogicznym okresie ubiegłego roku.",3,
ASSECO-POLAND,2021-11-23 17:17:27,"Po trzech kwartałach 2021 r. ACP (ASSECOPOL) wypracowało 10,3 mld zł przychodów ze sprzedaży, czyli o 18% więcej w stosunku do analogicznego okresu ubiegłego roku. Sprzedaż własnych...",3,
ASSECO-POLAND,2021-11-21 12:28:50,"Mimo wzrostu o 6 pozycji, portfel akcji notowanych na GPW w funduszach Investors TFI, na tle branżowych rywali należy do bardziej skoncentrowanych. Zarządzający oparli go na 74 składnikach...",1,
ASSECO-POLAND,2021-11-18 12:06:01,"Aktywność zarządzających z Generali Investment TFI była wprawdzie nieco słabsza niż kwartał wcześniej, ale nadal mieściła się w granicach większej niż mniejszej. Specjaliści zmienili...",1,
ASSECO-POLAND,2021-10-13 08:53:23,"Analitycy DM BOŚ, w raporcie z 5 października, obniżyli rekomendację Asseco Poland do ""trzymaj"" z ""kupuj"", podwyższając jednocześnie cenę docelową do 96,8 zł z 86,5 zł.",1,
ASSECO-POLAND,2021-10-12 09:18:26,"ACP (ASSECOPOL) powołało nową spółkę Asseco Cloud, która wspiera klientów w projektowaniu, wdrażaniu i obsłudze rozwiązań chmurowych. Spółka powstała przez połączenie kilku...",3,
ASSECO-POLAND,2021-09-14 12:04:55,"Nowe rekomendacje, nowe wyceny, nowi analitycy. Niezmienne pozostaje jednak pozytywne nastawienie do rynku akcji. Zespół BM mBanku w dalszym ciągu zaleca też przeważanie spółek cyklicznych,...",3,
ASSECO-POLAND,2021-09-13 20:10:33,"Analitycy BM mBanku, w raporcie z 7 września, wydali nowe rekomendacje dla Asseco Poland, CD Projektu, Dino, Famuru, JSW, Mo-Bruku i Ten Square Games - podało biuro we wrześniowym przeglądzie miesięcznym.",2,
ASSECO-POLAND,2021-09-06 12:21:45,"Haitong Bank, w raporcie z 2 września, obniżył rekomendację Asseco Poland do ""neutralnie"" z ""kupuj"". Jednocześnie podwyższył cenę docelową jednej akcji spółki do 87,3 zł z 84,2 zł poprzednio.",1,
ASSECO-POLAND,2021-08-25 19:10:14,"Zysk netto grupy Asseco Poland w drugim kwartale wzrósł o 47 proc. rok do roku, do 139,4 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",3,
ASSECO-POLAND,2021-08-25 18:16:32,"Portfel zamówień grupy Asseco Poland na 2021 rok ma wartość 10,11 mld zł - poinformowała spółka w raporcie półrocznym. Backlog jest o 16 proc. wyższy od wartości portfela zamówień na 2020 rok, który grupa notowała w analogicznym okresie ubiegłego roku.",3,
ASSECO-POLAND,2021-08-25 17:53:34,"W I półroczu 2021 r. Asseco osiągnęło 6,8 mld zł przychodów ze sprzedaży, czyli o 18% więcej niż w analogicznym okresie ubiegłego roku. Sprzedaż własnych produktów i usług...",3,
ASSECO-POLAND,2021-08-25 17:52:09,"Zysk netto grupy Asseco Poland w drugim kwartale wzrósł o 47 proc. rok do roku, do 139,4 mln zł - poinformowała grupa w raporcie. Wynik jest zbliżony do szacunków opublikowanych wcześniej przez spółkę.",3,
ASSECO-POLAND,2021-08-24 15:08:53,"Asseco Poland i Bank BPS podpisały umowę na wdrożenie nowego centralnego systemu bankowego. Celem współpracy jest zaimplementowanie nowoczesnych technologii dla klientów detalicznych i biznesowych, bankowości elektronicznej oraz aplikacji mobilnej. Część systemów informatycznych zostanie przeniesionych do chmury, a klienci Banku Polskiej Spółdzielczości zyskają nowe rozwiązania w codziennej obsłudze.",3,
ASSECO-POLAND,2021-08-24 11:46:39,"Celem współpracy pomiędzy Asseco Poland a Bankiem BPS jest wdrożenie nowego systemu centralnego, bankowości elektronicznej oraz aplikacji mobilnej. Część systemów informatycznych Banku...",3,
ASSECO-POLAND,2021-08-20 08:38:56,"Lipiec, pod względem aktywności zarządzających z Santander TFI, nie odbiegał istotnie od tego, co mogliśmy zaobserwować w czerwcu. Z tą może różnicą, że ciężar tej aktywności...",2,
ASSECO-POLAND,2021-08-19 13:43:44,Cyfrowy Polsat nie ma obecnie planów zwiększania udziałów w Asseco Poland ani sprzedaży infrastruktury Netii - poinformowała podczas telekonferencji z mediami przedstawiciele spółki.,1,
ASSECO-POLAND,2021-08-06 18:04:05,"Piątkowa sesja znów przyniosła rekordy, jednak ponownie ciężko było nie oprzeć się wrażeniu, że handel odbywa się w wakacyjnych rytmach. Liderem WIG20 okazało się Asseco Poland.",3,
ASSECO-POLAND,2021-08-06 14:50:52,"ACP (ASSECOPOL) poinformowała, że szacunkowy skonsolidowany wynik netto przypisany akcjonariuszom jednostki dominującej za I półrocze 2021 r. wyniósł 240,6 mln zł.

W samym II kwartale...",2,
ASSECO-POLAND,2021-08-06 14:37:17,"Asseco Poland ocenia, że szacunkowe wyniki nie stanowią informacji poufnej, o ile okazały się zgodne z oczekiwaniami rynku. Dlatego spółka, kierując się dobrymi praktykami spółek notowanych na GPW, opublikowała w czwartek szacunki za pierwsze półrocze na swojej stronie internetowej - poinformowała PAP Biznes Joanna Paczkowska-Tatomir z działu relacji inwestorskich Asseco Poland.",2,
ASSECO-POLAND,2021-08-06 12:54:48,"Asseco Poland utrzymuje od początku tego roku wzrostowy trend wyniku finansowego, który jest wyższy od oczekiwań rynkowych. Grupa kapitałowa skupiona wokół największego polskiego producenta oprogramowania wypracowała w drugim kwartale 2021 roku wyższy od szacunków zysk netto wynoszący 138,2 mln zł. W pierwszym kwartale br. zysk netto był wyższy od prognoz i ukształtował się na poziomie 102,4 mln zł.",3,
ASSECO-POLAND,2021-08-05 23:00:16,"Grupa Asseco Poland szacuje zysk netto przypisany akcjonariuszom jednostki dominującej w pierwszym półroczu 2021 roku na 240,6 mln zł, a w samym drugim kwartale sięgnął on 138,2 mln zł - poinformowała spółka na swojej stronie internetowej. Konsensus PAP Biznes zakładał, że w drugim kwartale Asseco Poland miało 125,9 mln zł zysku netto.",3,
ASSECO-POLAND,2021-07-09 14:15:09,"Asseco Poland ma za sobą bardzo dobry rok, a 2021 może przynieść dalszą poprawę. W ocenie analityków atutem firmy pozostaje wysoka stopa dywidendy. Jeden z rozmówców PAP Biznes wskazał, że wzrost kursu do najwyższego poziomu od 2007 r. może być częściowo wynikiem spekulacji o dokupieniu akcji przez Cyfrowy Polsat, ale analitycy nie wierzą w ten scenariusz.",3,
ASSECO-POLAND,2021-06-10 08:41:49,"Konsekwentnie do góry. Analitycy BM mBanku oceniają, że rynki akcji będą kontynuowały trend wzrostowy, a ich scenariusz bazowy na kolejne miesiące pozostaje niezmienny. A to oznacza dalsze...",3,
ASSECO-POLAND,2021-06-09 12:52:57,"W materiale informacje na temat:


	Wyników pierwszego kwartału 2021 r.
	Aktualnego portfela zamówień;
	Zainteresowania poszczególnymi segmentami;
	Współpracy z CPS (CYFRPLSAT);...",2,
ASSECO-POLAND,2021-05-26 17:20:08,"W I kwartale 2021 r. ACP (ASSECOPOL) osiągnęło ponad 3,3 mld zł przychodów ze sprzedaży, czyli o 14% więcej niż w analogicznym okresie ubiegłego roku. Sprzedaż własnych produktów i...",3,
ASSECO-POLAND,2021-03-24 11:07:27,"W 2020 roku ACP (ASSECOPOL) osiągnęło 12,2 mld zł przychodów ze sprzedaży, czyli o 14% więcej niż w roku 2019. Sprzedaż własnych produktów oraz usług informatycznych wzrosła, w...",3,
ASSECO-POLAND,2021-03-23 18:00:20,"Zarząd ACP (ASSECOPOL) rekomenduje wypłatę dywidendy w wysokości 3,11 zł na akcję. Do akcjonariuszy trafiłoby łącznie ponad 258 mln zł z zysku wypracowanego w 2020 r. 

Biorąc pod...",3,
ASSECO-POLAND,2021-03-18 10:06:09,"„Kupujemy głównie to, czego mamy najwięcej” zdają się mówić dane o decyzjach zarządzających z Santander TFI, podjętych wobec portfela spółek notowanych na GPW, którego wartość...",,
ASSECO-POLAND,2021-03-11 10:34:28,"Zarząd ACP (ASSECOPOL) poinformował, że szacunkowy skonsolidowany wynik netto przypisany akcjonariuszom jednostki dominującej za 2020 r. wyniósł 401,6 mln zł.

Tylko w IV kwartale spółka...",3,
ASSECO-POLAND,2021-03-10 10:02:44,"1, 29, 37, 98 to liczby podsumowujące styczniowe działania zarządzających Santander TFI. W kolejności są to: nowości w portfelu, spółki w których zwiększono zaangażowanie, zmniejszone...",2,
ASSECO-POLAND,2021-02-15 15:12:21,Spółka informatyczna Asseco Central Europe podpisała umowę o współpracy z towarzystwem ubezpieczeniowym Youplus Insurance International AG z Liechtensteinu na kolejne cztery lata. Stanowi to...,3,
ASSECO-POLAND,2021-02-12 12:36:36,"W czwartym kwartale w portfelu spółek notowanych na GPW znajdujących się w funduszach Generali Investments TFI sporo się działo. Z portfela wypadło 6 spółek, a kolejne cztery były...",2,
ASSECO-POLAND,2021-02-05 12:52:52,"Końcówka roku w AXA TFI była pracowita, przynajmniej jeśli chodzi o portfel spółek notowanych na GPW oraz NewConnect. Takie wnioski nasuwają się po analizie zmian, dokonanych przez...",2,
ASSECO-POLAND,2021-01-19 16:23:36,„Końcówka roku to dobry czas na porządki” wydają się mówić grudniowe działania zarządzających PKO TFI. W ostatnim miesiącu 2020 r. specjaliści intensywnie działali po stronie...,2,
ASSECO-POLAND,2020-11-24 10:48:58,"Po trzech kwartałach 2020 r. ACP (ASSECOPOL) wypracowało 8,7 mld zł przychodów ze sprzedaży, czyli o 13% więcej w stosunku do analogicznego okresu ubiegłego roku. 80% przychodów stanowiła...",3,
ASSECO-POLAND,2020-11-23 15:11:26,"Spektakularne, zdecydowane, agresywne. Taki nie były październikowe działania zarządzających PKO TFI. Ubiegły miesiąc przebiegł bowiem raczej spokojnie, co nie znaczy nudno. Mieliśmy,...",3,
ASSECO-POLAND,2020-11-23 12:00:21,"Grupa KRU (KRUK) jest liderem branży zarządzania wierzytelnościami w Europie Centralnej i pionierem strategii prougodowej. W swoich procesach firma wykorzystuje innowacyjne narzędzia, które...",3,
ASSECO-POLAND,2020-11-18 15:21:45,"Pod względem ogólnej aktywności zarządzających Santander TFI, październik nie odróżniał się znacząco od tego co mogliśmy obserwować w poprzednich miesiącach. Zwiększono...",2,
ASSECO-POLAND,2020-10-30 15:19:02,"Wrzesień to pierwszy miesiąc od pół roku, gdy w portfelu funduszy PKO ulokowanym na GPW było więcej sprzedaży niż zakupów. Mimo tego zarządzający zdecydowali się utrzymać liczbę...",1,
ASSECO-POLAND,2020-10-28 14:19:56,W funduszach Aviva Investors TFI znajdujemy w sumie niemal 100 spółek notowanych na GPW. Pod tym względem fundusze stworzone na potrzeby PPK są bardziej skoncentrowane i opierają się na 1/3...,2,
ASSECO-POLAND,2020-10-06 12:39:59,"Oczekiwania klientów w warunkach rynkowej niepewności zmieniają się dynamicznie. Organizacje finansowe, takie jak banki, towarzystwa ubezpieczeniowe i podmioty rynku kapitałowego muszą...",1,
